split,case,geology_type,l2_model_rmse,l2_correlation,l2_data_rmse,unconditional_model_rmse,unconditional_correlation,unconditional_data_rmse,unconditional_uncertainty_error_spearman,unconditional_coverage_68,unconditional_coverage_95,oracle_model_rmse,oracle_correlation,oracle_data_rmse,oracle_uncertainty_error_spearman,oracle_coverage_68,oracle_coverage_95,mixture_model_rmse,mixture_correlation,mixture_data_rmse,mixture_uncertainty_error_spearman,mixture_coverage_68,mixture_coverage_95,l2_runtime_seconds,unconditional_runtime_seconds,oracle_runtime_seconds,mixture_runtime_seconds,unconditional_wins_l2,oracle_wins_l2,mixture_wins_l2,oracle_improves_unconditional,mixture_improves_unconditional,oracle_gain_vs_unconditional,mixture_gain_vs_unconditional,mixture_gain_vs_oracle,unconditional_gain_vs_l2,oracle_gain_vs_l2,mixture_gain_vs_l2,best_method
OOD,10,dykes,0.18277695775032043,0.48692174519907916,0.12352454475686515,0.1643894910812378,0.6165381418435472,0.1987679061183145,0.5469649333182728,0.89892578125,0.973388671875,0.1754113733768463,0.531602877385533,0.19488734453873233,0.8960963389604965,0.204345703125,0.9189453125,0.18694207072257996,0.4389432246109529,0.19262658625315635,0.7218145874292903,0.62646484375,0.962890625,2.724888563156128,36.14633274078369,36.07289958000183,36.136807918548584,True,True,False,False,False,-0.01102188229560852,-0.022552579641342163,-0.011530697345733643,0.01838746666908264,0.007365584373474121,-0.0041651129722595215,Unconditional
OOD,11,blobs,0.23714739084243774,0.3562783954119456,0.06148316155739657,0.3131001889705658,0.09833839604671964,0.10125921194559945,0.4407498298770741,0.296875,0.978515625,0.3407176434993744,0.03920758456414644,0.12084997971552267,0.3423221982546775,0.23681640625,0.3759765625,0.25347137451171875,0.22113161635119133,0.10149145121799995,0.29263778338677765,0.540283203125,0.857177734375,2.727534532546997,36.06982159614563,36.054166316986084,36.08536100387573,False,False,False,False,True,-0.027617454528808594,0.059628814458847046,0.08724626898765564,-0.07595279812812805,-0.10357025265693665,-0.016323983669281006,SimPEG L2
OOD,12,faulted_layers,0.5085902214050293,-0.08731588746061825,0.1934941351331371,0.4579353630542755,0.34485742846236817,0.18399787112600008,0.4556338775186503,0.48974609375,0.915771484375,0.4910077154636383,0.10238190931149913,0.1988642540211946,0.19591200546173854,0.478759765625,0.6533203125,0.4346379339694977,0.416486394006046,0.18958130846941193,0.4345736293081035,0.3681640625,0.74755859375,2.086329221725464,36.09604024887085,36.01938056945801,36.130019187927246,True,True,True,False,True,-0.03307235240936279,0.023297429084777832,0.056369781494140625,0.050654858350753784,0.01758250594139099,0.07395228743553162,Equal mixture
OOD,13,faulted_layers,0.676876962184906,0.016965524617997038,0.06562419366112457,0.7932406067848206,-0.33308324591439237,0.12623812049865238,0.16692444285905395,0.056396484375,0.234375,0.6571698188781738,0.32086725681516076,0.1061545905063588,0.060959663854104895,0.093994140625,0.22021484375,0.6901286840438843,-0.0791168360449447,0.13242066720449827,0.26061526700251375,0.06591796875,0.248046875,2.6876440048217773,36.14011573791504,36.041871547698975,36.173959493637085,False,True,False,True,True,0.13607078790664673,0.10311192274093628,-0.03295886516571045,-0.11636364459991455,0.019707143306732178,-0.013251721858978271,Oracle conditional
OOD,14,dipping_layers,0.5614191293716431,-0.08218716410716334,0.0479119771744822,0.6352774500846863,-0.10601290699706864,0.09770397327182094,0.1778485408295566,0.111572265625,0.263671875,0.5324398875236511,0.10793980710773793,0.10690843626462869,0.14048878874547585,0.13134765625,0.63037109375,0.5587319731712341,-0.06474423440625615,0.12459492860880007,0.4172850918323324,0.126220703125,0.63671875,2.745432138442993,36.15300464630127,36.06611108779907,36.075504302978516,False,True,True,True,True,0.10283756256103516,0.07654547691345215,-0.026292085647583008,-0.07385832071304321,0.028979241847991943,0.0026871562004089355,Oracle conditional
OOD,15,intrusions,0.1929033100605011,0.22964908929696495,0.011374373444725012,0.1656893789768219,0.6501976996440395,0.03229848896074616,0.7449517221611537,0.649169921875,0.89892578125,0.16095632314682007,0.5581002213482018,0.015866350877825463,0.916428218391052,0.929443359375,0.953125,0.17982818186283112,0.37933293447639943,0.01241874497856525,0.7090101483060509,0.76513671875,0.94921875,2.1848888397216797,36.04164266586304,36.037039041519165,35.88477873802185,True,True,True,True,False,0.004733055830001831,-0.014138802886009216,-0.018871858716011047,0.0272139310836792,0.03194698691368103,0.013075128197669983,Oracle conditional
OOD,16,horizontal_layers,0.7512632608413696,-0.36114538417618447,0.30257127538268774,0.2840113341808319,0.8175706282337237,0.28044642132487846,0.6092473520935595,0.12646484375,0.37841796875,0.25590839982032776,0.8468342999495432,0.37825250225738427,0.6064299001450609,0.1298828125,0.51904296875,0.2813224196434021,0.8439481680185464,0.3351653734472612,0.5588488489073296,0.245849609375,0.71728515625,2.0618960857391357,35.9471549987793,35.79853916168213,35.86888241767883,True,True,True,True,True,0.02810293436050415,0.0026889145374298096,-0.02541401982307434,0.4672519266605377,0.49535486102104187,0.46994084119796753,Oracle conditional
OOD,17,intrusions,0.19586080312728882,0.23367376899009895,0.012417064628051916,0.18330901861190796,0.36862613483231155,0.016653441777054166,0.6225900170315807,0.0439453125,0.6923828125,0.17102348804473877,0.5831995145209184,0.018025853688420825,0.806516271251758,0.038818359375,0.273193359375,0.18085815012454987,0.48827273542872796,0.01542216273944556,0.6739936024631286,0.74755859375,0.9375,1.6762855052947998,35.931400299072266,35.784985065460205,35.906494140625,True,True,True,True,True,0.01228553056716919,0.0024508684873580933,-0.009834662079811096,0.01255178451538086,0.02483731508255005,0.015002653002738953,Oracle conditional
OOD,18,horizontal_layers,0.47746145725250244,0.2877674191033834,0.17623756992686856,0.4941404461860657,0.1967948508556516,0.16434601701039814,0.5952974645757088,0.489501953125,0.662353515625,0.558208167552948,0.12412084413209237,0.1671068877752994,-0.18437115979454388,0.3720703125,0.418701171875,0.579167366027832,-0.3248753248869164,0.17604126976504136,0.167051778120281,0.063232421875,0.4384765625,1.6096229553222656,35.89400315284729,35.96695899963379,35.76496434211731,False,False,False,False,False,-0.06406772136688232,-0.08502691984176636,-0.020959198474884033,-0.016678988933563232,-0.08074671030044556,-0.10170590877532959,SimPEG L2
OOD,19,faulted_layers,0.3917897641658783,0.07446326091411423,0.10199491768497314,0.42908361554145813,-0.12225388676830312,0.09318534469739535,0.3551574242852844,0.21337890625,0.788818359375,0.4613664448261261,0.042831171154053625,0.09771680923157136,0.16369105883438495,0.484130859375,0.583984375,0.4169533848762512,-0.05130635876128507,0.09793192634992179,0.30586011698645044,0.25048828125,0.58984375,1.6085546016693115,35.91736578941345,35.83865284919739,35.883580446243286,False,False,False,False,True,-0.03228282928466797,0.01213023066520691,0.04441305994987488,-0.037293851375579834,-0.0695766806602478,-0.025163620710372925,SimPEG L2
OOD,20,blobs,0.21181067824363708,0.6521865331412314,0.20885013027707164,0.16266801953315735,0.7850231810503545,0.1949193760096149,0.3428737277931655,0.8623046875,0.973388671875,0.17480909824371338,0.8421499036145654,0.23335331766208403,0.3560623427587539,0.20556640625,0.56103515625,0.17342853546142578,0.7688432861201252,0.209059984505352,0.5420271666919777,0.773681640625,0.99365234375,1.573169469833374,35.941078424453735,35.793763160705566,35.88438415527344,True,True,True,False,False,-0.01214107871055603,-0.010760515928268433,0.0013805627822875977,0.049142658710479736,0.037001579999923706,0.038382142782211304,Unconditional
OOD,21,blobs,0.2751723527908325,0.4245961191246631,0.02275618219712347,0.1988709568977356,0.7648093095553424,0.04506867956915556,0.6715019623586929,0.59228515625,0.911376953125,0.23533974587917328,0.6527209125760821,0.04660636574150983,0.2236005437424731,0.1669921875,0.462646484375,0.2716614007949829,0.45041058012832674,0.0457567533764777,0.7271469636342913,0.42626953125,0.820556640625,2.114712715148926,35.99378967285156,35.78260040283203,35.933239221572876,True,True,True,False,False,-0.03646878898143768,-0.07279044389724731,-0.03632165491580963,0.07630139589309692,0.03983260691165924,0.0035109519958496094,Unconditional
OOD,22,horizontal_layers,0.5947347283363342,0.02119542545932222,0.03455401517735745,0.6434509754180908,-0.012598526701603127,0.07616700169955395,0.2656544643238543,0.140869140625,0.228515625,0.6047132015228271,-0.15197198284281374,0.06603560880354263,0.32467087823530844,0.03759765625,0.0712890625,0.6074742674827576,-0.027327583066734194,0.1000410792902859,0.1813627329452115,0.052001953125,0.186279296875,2.085564136505127,35.81871271133423,35.95088005065918,35.8454167842865,False,False,False,True,True,0.03873777389526367,0.03597670793533325,-0.00276106595993042,-0.04871624708175659,-0.00997847318649292,-0.01273953914642334,SimPEG L2
OOD,23,horizontal_layers,0.529861569404602,0.12675451585830885,0.14060461725045267,0.5671666264533997,0.05162396946763516,0.12647480700077324,0.3230917235979534,0.368408203125,0.780517578125,0.5970964431762695,-0.2380942161400328,0.14590070141142614,0.05803599499724299,0.28515625,0.41357421875,0.5527717471122742,0.07398273950619753,0.14789902372213662,0.2777530271052042,0.223388671875,0.531005859375,1.593038558959961,35.86470079421997,35.87033033370972,35.81063628196716,False,False,False,False,True,-0.029929816722869873,0.014394879341125488,0.04432469606399536,-0.03730505704879761,-0.06723487377166748,-0.02291017770767212,SimPEG L2
