split,geology_type,method,rmse_mean,rmse_median,rmse_std,rmse_count,normalized_rmse_mean,normalized_rmse_median,normalized_rmse_std,normalized_rmse_count,mae_mean,mae_median,mae_std,mae_count,correlation_mean,correlation_median,correlation_std,correlation_count,ssim_mean,ssim_median,ssim_std,ssim_count,gradient_rmse_mean,gradient_rmse_median,gradient_rmse_std,gradient_rmse_count,gradient_correlation_mean,gradient_correlation_median,gradient_correlation_std,gradient_correlation_count,boundary_sharpness_ratio_mean,boundary_sharpness_ratio_median,boundary_sharpness_ratio_std,boundary_sharpness_ratio_count,polarity_accuracy_mean,polarity_accuracy_median,polarity_accuracy_std,polarity_accuracy_count,iou_mean,iou_median,iou_std,iou_count,relative_area_error_mean,relative_area_error_median,relative_area_error_std,relative_area_error_count,normalized_centroid_distance_mean,normalized_centroid_distance_median,normalized_centroid_distance_std,normalized_centroid_distance_count,orientation_error_degrees_mean,orientation_error_degrees_median,orientation_error_degrees_std,orientation_error_degrees_count,multi_interface_mean_distance_pixels_mean,multi_interface_mean_distance_pixels_median,multi_interface_mean_distance_pixels_std,multi_interface_mean_distance_pixels_count,mean_posterior_std_mean,mean_posterior_std_median,mean_posterior_std_std,mean_posterior_std_count,uncertainty_error_spearman_mean,uncertainty_error_spearman_median,uncertainty_error_spearman_std,uncertainty_error_spearman_count
ID,dykes,SimPEG L2,0.17122337680596572,0.17405728995800018,0.024770300989983875,13,0.9139823397558562,0.9069058871656741,0.037600735693816806,13,0.10058782135064785,0.10092262923717499,0.02335237869748801,13,0.3454552762717172,0.3639420682593486,0.08478427780683286,13,0.2359153156786277,0.21012030354216607,0.10476055107459041,13,0.09100121603781863,0.08611800686882569,0.01265940368115487,13,0.23281252131307809,0.23398860950512132,0.06837206174240494,13,0.26091310805504986,0.2750592579434737,0.07578064724270625,13,1.0,1.0,0.0,13,0.1108685913179199,0.10985915492957747,0.042936787974837624,13,0.7649192339850288,0.7678571428571429,0.10876100136379899,13,0.31294896853248183,0.3083573760564766,0.037345856605307676,12,22.031857888626977,23.700204028469642,7.353045180520776,12,,,,0,,,,0,,,,0
ID,dykes,Unconditional,0.16983993580708137,0.16478288173675537,0.026860865835302117,13,0.9126218955824219,0.9273217805395483,0.13027539692707074,13,0.08540642548065919,0.08577017486095428,0.014384447976837463,13,0.38142841248666753,0.3387419839115479,0.1847964664629861,13,0.40065123709893125,0.389863615941198,0.049015865770347104,13,0.08907060873477539,0.08435978558722529,0.014895628627582043,13,0.3787159164366644,0.3787084620059502,0.10586032076733243,13,0.5752390194360472,0.602441648335654,0.10099079956722806,13,0.929527072670507,1.0,0.12535046121712132,13,0.16112811588831571,0.16226415094339622,0.10860156883314437,13,0.5001195652782943,0.47720364741641336,0.24873483522381104,13,0.21202852672796432,0.22104387409712525,0.0656962894431838,12,13.603861717177496,11.424177257152579,8.366349003772589,12,,,,0,0.16770534905103537,0.17078891396522522,0.023503213825999732,13,0.7617182683526708,0.7639527733181954,0.10634062227592456,13
ID,faulted_layers,Equal mixture,0.5006197831209969,0.5466592907905579,0.1369584219280777,17,0.8905409321081414,0.9261493656556844,0.2068985875164514,17,0.4134853613727233,0.4314666986465454,0.12390655492580255,17,0.3063387375204587,0.19786209009121652,0.3024110531976811,17,0.04761970775832889,0.03209252417929087,0.10771546971725234,17,0.11753440757935145,0.10261852181346637,0.035387601856423354,17,0.03829283006557945,0.04674447584338687,0.08199873043494568,17,0.46626060882118064,0.39570077663943676,0.2595298423777407,17,0.7445600181949875,0.7608206857785272,0.20724532076490362,17,,,,0,,,,0,,,,0,,,,0,11.357536764705882,11.359375,2.9824536047212455,17,0.34764909218339357,0.35511982440948486,0.042386757618780184,17,0.4211230149602664,0.34401719553126076,0.21064804191271075,17
ID,faulted_layers,Oracle conditional,0.5272905756445492,0.5312449932098389,0.11241385906648423,17,0.9401593941959804,0.9946168183559585,0.1501485451740423,17,0.4393589636858772,0.4401705265045166,0.11012952774472451,17,0.18972114089971837,0.1910854815490986,0.2832962145732262,17,0.04381240245803105,0.036889575653845784,0.10918984632084373,17,0.11855260697399587,0.10578476191150257,0.03130288075772236,17,0.03662446289136629,0.0326879579856117,0.09463293173640977,17,0.5858340003071905,0.5010464872493026,0.36018061060644385,17,0.6696334788152908,0.5971910112359551,0.1935237497508133,17,,,,0,,,,0,,,,0,,,,0,13.564950980392156,12.0234375,3.5822276067587353,17,0.4353872677859138,0.43861058354377747,0.07216092008131036,17,0.4160888034138622,0.42832126665873327,0.2735715133335487,17
ID,faulted_layers,SimPEG L2,0.6147321480162004,0.6133476495742798,0.15896231163726096,17,1.0892478513548856,1.0835045591303378,0.2204476760564197,17,0.5144364167662228,0.5314860939979553,0.12834270177314622,17,-0.07277525423482406,-0.004072213612014633,0.317506823415837,17,0.026446316160713957,0.024365685889993056,0.0994646065920686,17,0.11742563349043234,0.1026523908116681,0.033709645424520276,17,-0.004571238984013381,-0.02552185391794562,0.08229361422355631,17,0.22323155912110618,0.1554635259697518,0.18355036765896338,17,0.7271909963725068,0.64004914004914,0.2733226678289606,17,,,,0,,,,0,,,,0,,,,0,24.143535539215687,22.6796875,5.366594065485345,17,,,,0,,,,0
ID,faulted_layers,Unconditional,0.5239913489888696,0.5083383917808533,0.1861356350431865,17,0.926598197909847,0.9724414630551814,0.27804269813976246,17,0.43460823595523834,0.4443809390068054,0.1564004939344349,17,0.2816561542280735,0.24679567026938257,0.38018887473343166,17,0.026310118342507946,0.020132419078188413,0.10996850065233152,17,0.12209612947554904,0.10798475131784832,0.03387848657673842,17,0.05687557903322808,0.020929570778291752,0.08811040901846373,17,0.6247860273718019,0.5754304097097163,0.3263687288410564,17,0.7543890457183005,0.6435754189944134,0.23805391819426708,17,,,,0,,,,0,,,,0,,,,0,12.003063725490197,12.502604166666666,4.011940220115217,17,0.32669674561304207,0.33531782031059265,0.07254013214134059,17,0.3750308259279916,0.33026856649333575,0.23890203071130872,17
ID,horizontal_layers,Equal mixture,0.4873346247171101,0.5044920444488525,0.1331986162439019,19,0.8422048888045881,0.9212081449697341,0.2069350854941906,19,0.4057544681586717,0.43766531348228455,0.11937077235706361,19,0.3264438025016531,0.20606775743911737,0.3314030398395895,19,0.04493564366340043,0.03697415769127345,0.1210408155937272,19,0.11387898279791901,0.10370653241647827,0.03569489317732321,19,0.06693430220304604,0.06869150926872074,0.10699174107155075,19,0.5828930825830535,0.45827692572829953,0.4589912366180639,19,0.73234304804549,0.6607270135424091,0.2069965911646845,19,,,,0,,,,0,,,,0,,,,0,8.946271929824562,9.143229166666666,1.8938390576616926,19,0.28178173695739944,0.2920050323009491,0.09715311994393185,19,0.40730065983957636,0.37038964232656835,0.23550859928764215,19
ID,horizontal_layers,Oracle conditional,0.5104762362806421,0.5154920220375061,0.11839959288528441,19,0.8882874582147903,0.9317232994696268,0.2088283517907231,19,0.4252041554764697,0.43016692996025085,0.11213539340821667,19,0.19396189975692096,0.17371040162772633,0.4662698573138221,19,0.01980633514303153,-0.0038347626508154083,0.12240976406899379,19,0.11542437140949459,0.10386363117160173,0.035612650400006336,19,0.1503102698204339,0.1288578537808487,0.10103014876816283,19,0.6057374674220327,0.4544270205657019,0.45664033772776236,19,0.6628120265897313,0.5830324909747292,0.2750042293359934,19,,,,0,,,,0,,,,0,,,,0,9.279331140350877,8.6640625,2.6489078814766893,19,0.2995516226479882,0.28614699840545654,0.12434109677366617,19,0.47780687479154543,0.5766770546177481,0.27356892084994994,19
ID,horizontal_layers,SimPEG L2,0.6247346699237823,0.6156956553459167,0.16094400287867017,19,1.0667643515998324,1.0308754173740766,0.20076681774271957,19,0.5228692387279711,0.5197561979293823,0.11908032664648845,19,-0.10177894275814474,-0.0633123155357878,0.2699965971869068,19,0.03431715851702606,-0.014688732850060277,0.13136860900069675,19,0.11357906908837065,0.10445323878607943,0.035963159284963894,19,0.02972791184610076,0.055065545628785274,0.07797470057325857,19,0.24384919267184277,0.13708547074114072,0.226389799094652,19,0.7247708773843644,0.6714801444043321,0.2621457778784221,19,,,,0,,,,0,,,,0,,,,0,20.62143640350877,20.447916666666664,3.396849819211085,19,,,,0,,,,0
ID,horizontal_layers,Unconditional,0.5227498890537965,0.5336201190948486,0.17293895083742797,19,0.9008377981729242,0.969424864948202,0.27641528657611897,19,0.42925480557115453,0.4873421788215637,0.1546684932814161,19,0.16113429409012117,0.07483748855950116,0.45551811742460135,19,0.030424606120668135,0.027315325111964807,0.156408230071648,19,0.11902650798537107,0.10924333586445514,0.03692775814742214,19,0.09068541278129333,0.03551441983592896,0.14233153679491947,19,0.7334355040520308,0.6704485653792214,0.3962085751453413,19,0.6978848626673316,0.6607270135424091,0.24732272619562176,19,,,,0,,,,0,,,,0,,,,0,9.615816885964911,9.455729166666668,3.0047379578974556,19,0.2678761835161008,0.2494443953037262,0.10141382415698284,19,0.40767206009304846,0.4245375903185515,0.2042368526893005,19
ID,intrusions,Equal mixture,0.18047977356534256,0.1774941384792328,0.029565720414600996,19,0.8654599607293487,0.9021790083486325,0.10810493492335534,19,0.0905944526587662,0.0935131311416626,0.0222517289632541,19,0.45669969308923525,0.4310262871598602,0.20867399577455423,19,0.37401717226595926,0.3177797303135807,0.12028419711472882,19,0.05768896128830847,0.05893364183724478,0.00766666653900405,19,0.24077883713126447,0.2196789408316476,0.08847456647252805,19,0.7438781316767562,0.6239196992767578,0.2959794900055731,19,0.9753131421041709,1.0,0.05965019552295674,19,0.14719800734486677,0.0,0.24889253823306748,19,0.7514392240613496,1.0,0.3706909134058422,19,0.08141136015846367,0.051694836284827246,0.07107121524516422,9,36.08338683957866,18.581618192969515,31.99451791685432,9,,,,0,0.18485409060591146,0.16304601728916168,0.0639358585463167,19,0.6267555262838167,0.6911507018525551,0.1749792351014796,19
ID,intrusions,Oracle conditional,0.19152368526709707,0.19023796916007996,0.04136982854125579,19,0.9484234181032151,0.8689832360114914,0.30133870669141705,19,0.08580776519681278,0.08422201126813889,0.020027201932560905,19,0.494414695120354,0.4569621998073464,0.2584842556008871,19,0.5582568869836975,0.5927607543692219,0.09479878586529406,19,0.062015857361018764,0.06314938688698465,0.01125537278435233,19,0.2745223006250233,0.2919336254203425,0.12303749159097463,19,0.9686811931836146,0.8751600362721521,0.3840557702240971,19,0.9422017359502529,1.0,0.10211656697320287,19,0.24208285245167058,0.1583710407239819,0.2519119448233465,19,0.7484396678160826,0.7663551401869159,0.6204322257682742,19,0.10610892377143753,0.11823328546056776,0.05057571295473603,17,58.59128243823473,70.75608783272554,25.207951842779106,17,,,,0,0.09756006810225938,0.10364584624767303,0.029447349821887132,19,0.745770203696226,0.7908954410742114,0.18407655840284295,19
ID,intrusions,SimPEG L2,0.19988440212450528,0.2021278291940689,0.03955867543288257,19,0.9445945046240359,0.9456913958973489,0.032897684241746473,19,0.09693331957647675,0.0872722864151001,0.03796754682169664,19,0.31589257376395247,0.3112545664426722,0.0715821555720345,19,0.28283300501986974,0.24716172131739728,0.14204342807792325,19,0.05837328410785375,0.059021698447416546,0.008362353556625337,19,-0.033875882288020825,-0.11927183511790612,0.16584907448923675,19,0.1487083041529813,0.08906862954745678,0.14658373729695348,19,1.0,1.0,0.0,19,0.03393584972532341,0.0,0.14792293951586727,19,0.9581075851393188,1.0,0.18260480287859054,19,0.012886546416424659,0.012886546416424659,,1,3.7280397990559675,3.7280397990559675,,1,,,,0,,,,0,,,,0
ID,intrusions,Unconditional,0.17843485898093173,0.16569088399410248,0.03178809864446975,19,0.8677740364991064,0.8492493748165616,0.20817841613911164,19,0.08805867049254869,0.08464132249355316,0.020118540341119706,19,0.5543084434475881,0.6043533256284965,0.19931755695237618,19,0.4380885881690818,0.4372894850227532,0.085209359263138,19,0.05778662328798021,0.0593321538169948,0.009338963415859618,19,0.32046821063162956,0.3203924993838208,0.144092060611003,19,1.0579827537226165,1.0679292354873922,0.44292705869042437,19,0.984472218790048,1.0,0.03720082600368729,19,0.2919168554627309,0.3448275862068966,0.19548953017467588,19,0.8144604970997164,0.7655172413793103,0.6229547011239455,19,0.1007930660003542,0.09613633304723937,0.05299616268049255,18,45.98245064124253,54.87981408770757,31.040594308033075,18,,,,0,0.14943160744089828,0.12925894558429718,0.059351667244268304,19,0.7948588382023071,0.8113739301662406,0.11279654655886345,19
OOD,blobs,Equal mixture,0.18922899030148982,0.20130649954080582,0.049472031923099784,20,0.8143692004017467,0.8187328866225814,0.15203874567155273,20,0.1261712394654751,0.1318942755460739,0.04198984905317308,20,0.5445976408780469,0.5959960711977337,0.22379284135166208,20,0.26351457515992105,0.23993698494259802,0.15629221109435776,20,0.033078832567841845,0.032040950831598386,0.007290731821934563,20,0.3366008222777987,0.3517503884497304,0.16993259573098096,20,0.6311838139900895,0.597366944354232,0.2666914555125979,20,0.9081846814579049,0.9772877894191434,0.1391329006549263,20,0.19975898618264115,0.12166757757940122,0.2333584775124916,20,0.7010472374644943,0.7898099864082613,0.3108168424488149,20,0.13949579509767582,0.08188405683354345,0.14391506039992594,13,37.88756954745293,41.932021959693316,23.803305455176606,13,,,,0,0.220076210424304,0.1985054910182953,0.08560273399056052,20,0.4096052282647601,0.4268626605202846,0.19742488812266568,20
OOD,blobs,Oracle conditional,0.2073309298604727,0.2071792110800743,0.06128382944108973,20,0.907883307084318,0.8460504518496095,0.27499031589965783,20,0.13659090530127288,0.1369893103837967,0.05043729639558581,20,0.5434846630974536,0.6446695620131495,0.30020050781310076,20,0.3705816812378874,0.37048720555525305,0.17776258335589992,20,0.03418782650069703,0.03191925566602188,0.009580855262047515,20,0.4431261804555593,0.48913072851194567,0.23459986183880105,20,0.8513510754449779,0.820009397570373,0.31158251865357295,20,0.9228441655922817,0.9495416963222627,0.11319111467629092,20,0.30013520320051484,0.2726632100556763,0.19824861719877632,20,0.42929653715645255,0.29935172147610234,0.32976692677891933,20,0.15896763022509205,0.097705006504565,0.14840810262662468,19,46.13848419444048,48.026968541872826,27.071829020631192,19,,,,0,0.06483986852690578,0.060884566977620125,0.027850925733583002,20,0.49120696801382735,0.43099167621050805,0.22212988419244295,20
